Country,ISO,Sex,Year,Age,htn,diag,treat,control,Proportion of untreated stage 2 hypertension among all hypertension
Afghanistan,AFG,Men,1990,Age standardised (30-79 years),0.33184322,0.217042451,0.137441818,0.026009741,0.325091734
Afghanistan,AFG,Men,1991,Age standardised (30-79 years),0.332704633,0.22246965,0.142342107,0.026775757,0.319920008
Afghanistan,AFG,Men,1992,Age standardised (30-79 years),0.333643143,0.228117152,0.147571311,0.027751195,0.314806106
Afghanistan,AFG,Men,1993,Age standardised (30-79 years),0.33461903,0.233976896,0.153131355,0.028945195,0.30979233
Afghanistan,AFG,Men,1994,Age standardised (30-79 years),0.335512211,0.239989837,0.159044058,0.03037133,0.304867015
Afghanistan,AFG,Men,1995,Age standardised (30-79 years),0.336439265,0.24624545,0.165340908,0.032039626,0.299995719
Afghanistan,AFG,Men,1996,Age standardised (30-79 years),0.337398085,0.252721139,0.171979156,0.033916562,0.295200917
Afghanistan,AFG,Men,1997,Age standardised (30-79 years),0.338409605,0.259344706,0.178960134,0.036022653,0.290485487
Afghanistan,AFG,Men,1998,Age standardised (30-79 years),0.339498676,0.266131338,0.18618587,0.03831871,0.285905263
Afghanistan,AFG,Men,1999,Age standardised (30-79 years),0.340689818,0.273037493,0.1936842,0.04080087,0.281367888
Afghanistan,AFG,Men,2000,Age standardised (30-79 years),0.341952727,0.280088768,0.201423503,0.043454479,0.276956908
Afghanistan,AFG,Men,2001,Age standardised (30-79 years),0.343259173,0.287278817,0.209455747,0.0462815,0.272703123
Afghanistan,AFG,Men,2002,Age standardised (30-79 years),0.344603843,0.294652679,0.217741577,0.049328646,0.268632479
Afghanistan,AFG,Men,2003,Age standardised (30-79 years),0.345924659,0.302197473,0.226252027,0.052525483,0.26476184
Afghanistan,AFG,Men,2004,Age standardised (30-79 years),0.34719866,0.309897243,0.23481148,0.055838311,0.261091127
Afghanistan,AFG,Men,2005,Age standardised (30-79 years),0.348342052,0.317693224,0.243349009,0.059207117,0.257681567
Afghanistan,AFG,Men,2006,Age standardised (30-79 years),0.349313422,0.32558146,0.251748585,0.062541032,0.254579997
Afghanistan,AFG,Men,2007,Age standardised (30-79 years),0.35012639,0.333657677,0.259942334,0.065798194,0.251769917
Afghanistan,AFG,Men,2008,Age standardised (30-79 years),0.350773936,0.341896912,0.267962625,0.068959774,0.249278163
Afghanistan,AFG,Men,2009,Age standardised (30-79 years),0.351296446,0.350325766,0.27579157,0.072006156,0.247051839
Afghanistan,AFG,Men,2010,Age standardised (30-79 years),0.351602681,0.358898893,0.283483402,0.07494705,0.24505869
Afghanistan,AFG,Men,2011,Age standardised (30-79 years),0.35179843,0.36758816,0.290958624,0.077776322,0.243304367
Afghanistan,AFG,Men,2012,Age standardised (30-79 years),0.351902705,0.376352443,0.29821546,0.080465572,0.241835672
Afghanistan,AFG,Men,2013,Age standardised (30-79 years),0.351970434,0.385215241,0.305263488,0.083057633,0.24061922
Afghanistan,AFG,Men,2014,Age standardised (30-79 years),0.352047259,0.394123747,0.312179553,0.08550691,0.239665907
Afghanistan,AFG,Men,2015,Age standardised (30-79 years),0.352148198,0.403073779,0.3190174,0.087916764,0.238932277
Afghanistan,AFG,Men,2016,Age standardised (30-79 years),0.352331603,0.412129016,0.325896473,0.090399156,0.238337477
Afghanistan,AFG,Men,2017,Age standardised (30-79 years),0.35266586,0.421039875,0.3325221,0.092863393,0.237926991
Afghanistan,AFG,Men,2018,Age standardised (30-79 years),0.352982684,0.429982219,0.339135086,0.095570596,0.237657396
Afghanistan,AFG,Men,2019,Age standardised (30-79 years),0.353321445,0.438880825,0.345880454,0.098601791,0.237510978
Albania,ALB,Men,1990,Age standardised (30-79 years),0.431518562,0.172868564,0.08480424,0.013711073,0.266816362
Albania,ALB,Men,1991,Age standardised (30-79 years),0.429940515,0.176153456,0.087251987,0.01407609,0.25899719
Albania,ALB,Men,1992,Age standardised (30-79 years),0.428465248,0.179701681,0.089939513,0.014573029,0.251383069
Albania,ALB,Men,1993,Age standardised (30-79 years),0.427038237,0.183469501,0.092854599,0.015230857,0.243916691
Albania,ALB,Men,1994,Age standardised (30-79 years),0.425574785,0.187466152,0.096013462,0.016049082,0.236601525
Albania,ALB,Men,1995,Age standardised (30-79 years),0.424147838,0.191711311,0.099408173,0.017040243,0.229522859
Albania,ALB,Men,1996,Age standardised (30-79 years),0.422864126,0.196051364,0.10295112,0.01814787,0.22267336
Albania,ALB,Men,1997,Age standardised (30-79 years),0.421755879,0.200495352,0.106649377,0.019363671,0.216057049
Albania,ALB,Men,1998,Age standardised (30-79 years),0.421009815,0.20499192,0.110458597,0.020652692,0.209655507
Albania,ALB,Men,1999,Age standardised (30-79 years),0.420674937,0.209433247,0.114370927,0.022016333,0.203516775
Albania,ALB,Men,2000,Age standardised (30-79 years),0.420732314,0.213849372,0.118370668,0.023448219,0.197583827
Albania,ALB,Men,2001,Age standardised (30-79 years),0.421256397,0.218199184,0.122488555,0.024953016,0.191908355
Albania,ALB,Men,2002,Age standardised (30-79 years),0.422284869,0.222404581,0.126711382,0.026512117,0.186485877
Albania,ALB,Men,2003,Age standardised (30-79 years),0.4237256,0.226467773,0.130933022,0.028114117,0.181277488
Albania,ALB,Men,2004,Age standardised (30-79 years),0.425420899,0.230416188,0.135093025,0.029755741,0.17625681
Albania,ALB,Men,2005,Age standardised (30-79 years),0.427197363,0.234216983,0.139160444,0.031412079,0.171526966
Albania,ALB,Men,2006,Age standardised (30-79 years),0.428917998,0.237866231,0.143117967,0.033044231,0.167144095
