Country_x,Country Code,Sex_x,Year_x,htn,treat,control,diagn,untreatedstage2HTN,Country_y,Income,pop,pop_tot,Indicator_b,Country_b,Year_b,GeoRegion_b,nurse,Indicator_c,Country_c,Year_c,GeoRegion_c,pharma,Indicator_d,Country_d,Year_d,GeoRegion_d,chws_n,Indicator_a,Country_a,Year_a,phy,chws,hw,treatn,controln,diagng,htn2,n_phy,b_phy,pop_htn,pop_htn_visit1,pop_htn_visit2,pop_htn_visit3,phy_s1,phy_s2,phy_s1_i1,phy_s2_i2,phy_s1_c,phy_s2_c,gaps_hf_base_s1,gaps_hf_base_s2,gaps_hf_base_s1_i1,gaps_hf_base_s2_i2,gaps_hf_base_s1_c,gaps_hf_base_s2_c,gaps_hf_6_s1,gaps_hf_6_s2,gaps_hf_3_s1,gaps_hf_3_s2,gaps_hf_6_s1_i1,gaps_hf_6_s2_i2,gaps_hf_3_s1_i1,gaps_hf_3_s2_i2,gaps_hf_6_s1_c,gaps_hf_6_s2_c,gaps_hf_3_s1_c,gaps_hf_3_s2_c,gaps_cat4_base_s1_c
Zimbabwe,ZWE,Men,2019,41.6544516,34.0336062,15.66653395,45.8388629,24.13236695,Zimbabwe,Lower middle income,9000000,17500000,"Nursing and midwifery personnel (per 10,000)",Zimbabwe,2022.0,Africa,21.43,"Pharmacists  (per 10,000)",Zimbabwe,2022.0,Africa,1.17,Community Health Workers (number),Zimbabwe,2022.0,Africa,19722.0,Physician per 1000,Zimbabwe,2020.0,1.89,11.269714285714286,35.75971428571429,14.176512022313595,6.525808801600317,19.093926960670856,35.128642798399675,33.86971428571429,35.75971428571429,3748900.644,44986807.728,22493403.864,11246701.932,680400.0,340200.0,12193097.142857144,6096548.571428572,12873497.142857144,6436748.571428572,44306407.728,44646607.728,32793710.58514286,38890259.15657143,32113310.58514286,38550059.15657143,21813003.864,22153203.864,10566301.932,10906501.932,10300306.721142856,16396855.29257143,-946395.2108571436,5150153.360571428,9619906.721142856,16056655.29257143,-1626795.2108571436,4809953.360571428,4
Namibia,NAM,Men,2019,43.69959145,43.5246279,21.0889878,51.48938940000001,20.2136386,Namibia,Upper middle income,1600000,2700000,"Nursing and midwifery personnel (per 10,000)",Namibia,2022.0,Africa,33.55,"Pharmacists  (per 10,000)",Namibia,2022.0,Africa,2.55,Community Health Workers (number),Namibia,2018.0,Africa,2292.0,Physician per 1000,Namibia,2018.0,6.01,8.488888888888889,50.59888888888888,19.02008457243271,9.215801509540343,22.50065280789961,34.48378994045966,44.58888888888888,50.59888888888888,699193.4631999999,8390321.558399998,4195160.779199999,2097580.3895999994,384640.0,192320.0,2853688.8888888885,1426844.4444444445,3238328.8888888885,1619164.4444444445,8005681.558399998,8198001.558399998,5536632.66951111,6963477.113955554,5151992.66951111,6771157.113955554,3810520.779199999,4002840.779199999,1712940.3895999994,1905260.3896,1341471.8903111103,2768316.334755555,-756108.4992888891,670735.9451555551,956831.8903111104,2575996.334755555,-1140748.499288889,478415.9451555552,3
Nauru,NRU,Men,2019,41.72005895,28.7900877,14.99068405,53.19728385,26.07245645,Nauru,Upper middle income,8000,10000,"Nursing and midwifery personnel (per 10,000)",Nauru,2018.0,Western Pacific,70.59,"Pharmacists  (per 10,000)",Nauru,2015.0,Western Pacific,1.79,Community Health Workers (number),Nauru,2015.0,Western Pacific,17.0,Physician per 1000,Nauru,2015.0,12.5,17.0,101.88,12.0112415601967,6.254122222668247,22.19393818201883,35.46593672733175,89.38000000000001,101.88,3337.604716,40051.256592,20025.628296,10012.814148,4000.0,2000.0,28601.6,14300.8,32601.6,16300.8,36051.256592,38051.256592,11449.656591999996,25750.456591999995,7449.656591999996,23750.456591999995,16025.628296,18025.628296,6012.814148,8012.814147999999,-8575.971704000003,5724.828295999998,-18588.785852,-4287.985852000002,-12575.971704000003,3724.828295999998,-22588.785852,-6287.985852000002,2
Nepal,NPL,Men,2019,36.76361415,18.55796455,7.18446105,32.9255833,27.6463641,Nepal,Lower middle income,16000000,31000000,"Nursing and midwifery personnel (per 10,000)",Nepal,2021.0,South-East Asia,34.89,"Pharmacists  (per 10,000)",Nepal,2021.0,South-East Asia,1.71,Community Health Workers (number),Nepal,2020.0,South-East Asia,51240.0,Physician per 1000,Nepal,2021.0,8.67,16.529032258064515,61.799032258064514,6.822578481255785,2.641267539179039,12.104634401048838,34.12234661082096,53.12903225806451,61.799032258064514,5882178.264,70586139.168,35293069.584,17646534.792,5548800.0,2774400.0,34002580.64516129,17001290.322580647,39551380.64516129,19775690.322580647,65037339.168,67811739.168,36583558.522838704,53584848.84541935,31034758.522838704,50810448.84541935,29744269.584,32518669.584,12097734.792,14872134.792,1290488.9388387054,18291779.261419352,-16356045.853161294,645244.4694193527,-4258311.061161295,15517379.261419352,-21904845.85316129,-2129155.530580648,4
Netherlands,NLD,Men,2019,30.50558535,43.04454965,23.49735905,51.877308,16.46499075,Netherlands,High income,13000000,18000000,"Nursing and midwifery personnel (per 10,000)",Netherlands (Kingdom of the),2021.0,Europe,116.6,"Pharmacists  (per 10,000)",Netherlands (Kingdom of the),2021.0,Europe,2.18,,,,,,Physician per 1000,Netherlands,2020.0,38.36,0.0,157.14,13.130991832003874,7.168006919993698,15.825476469222377,23.3375784300063,118.78,157.14,3965726.0955,47588713.14599999,23794356.572999995,11897178.286499998,19947200.0,9973600.0,61765600.0,30882800.0,81712800.0,40856400.0,27641513.14599999,37615113.14599999,-14176886.85400001,16705913.14599999,-34124086.85400001,6732313.14599999,3847156.572999995,13820756.572999995,-8050021.713500002,1923578.2864999976,-37971243.427,-7088443.427000005,-49868421.7135,-18985621.7135,-57918443.427,-17062043.427000005,-69815621.71350001,-28959221.7135,1
New Zealand,NZL,Men,2019,31.003752,49.685837500000005,27.5838924,63.10128165,12.707285099999998,New Zealand,High income,4100000,5200000,"Nursing and midwifery personnel (per 10,000)",New Zealand,2022.0,Western Pacific,117.4,"Pharmacists  (per 10,000)",New Zealand,2022.0,Western Pacific,7.01,,,,,,Physician per 1000,New Zealand,2021.0,35.16,0.0,159.57,15.404473837623,8.55204159164285,19.56376487158751,22.45171040835715,124.41,159.57,1271153.832,15253845.984,7626922.992,3813461.496,5766240.0,2883120.0,20403240.000000004,10201620.000000002,26169480.0,13084740.0,9487605.984,12370725.984,-5149394.0160000045,5052225.983999997,-10915634.016,2169105.9839999992,1860682.992,4743802.992,-1952778.504,930341.4959999998,-12776317.008000003,-2574697.0080000022,-16589778.504000004,-6388158.5040000025,-18542557.008,-5457817.008,-22356018.504,-9271278.504,1
Nicaragua,NIC,Men,2019,35.6827871,59.46749090000001,33.792306100000005,66.02159285,12.3314238,Nicaragua,Lower middle income,3900000,7300000,"Nursing and midwifery personnel (per 10,000)",Nicaragua,2017.0,Americas,15.3,"Pharmacists  (per 10,000)",Nicaragua,2014.0,Americas,1.84,,,,,,Physician per 1000,Nicaragua,2018.0,6.640000000000001,0.0,23.78,21.21965817155888,12.058036641843314,23.55834441669432,23.624750458156683,17.14,23.78,1391628.6969,16699544.362799998,8349772.181399999,4174886.0907,1035840.0000000002,517920.0000000001,2673840.0,1336920.0,3709680.000000001,1854840.0000000005,15663704.362799998,16181624.362799998,14025704.362799998,15362624.362799998,12989864.362799998,14844704.362799998,7313932.181399999,7831852.181399999,3139046.0907,3656966.0907,5675932.181399999,7012852.181399999,1501046.0906999996,2837966.0907,4640092.181399998,6494932.181399999,465206.09069999866,2320046.090699999,4
Niger,NER,Men,2019,41.5232669,13.28105385,5.9896993,26.192815000000003,30.392121300000003,Niger,Low income,8400000,27900000,"Nursing and midwifery personnel (per 10,000)",Niger,2022.0,Africa,2.02,"Pharmacists  (per 10,000)",Niger,2022.0,Africa,0.016,Community Health Workers (number),Niger,2022.0,Africa,2239.0,Physician per 1000,Niger,2020.0,0.34,0.8025089605734766,3.1785089605734766,5.514727437268226,2.487118826846432,10.876112481073235,39.03614807315357,2.838508960573477,3.1785089605734766,3487954.4196000006,41855453.03520001,20927726.517600004,10463863.258800002,114240.00000000004,57120.000000000015,953739.0107526884,476869.5053763442,1067979.0107526882,533989.5053763441,41741213.03520001,41798333.03520001,40901714.02444732,41378583.52982366,40787474.02444732,41321463.52982366,20813486.517600004,20870606.517600004,10349623.258800002,10406743.258800002,19973987.506847315,20450857.01222366,9510124.248047313,9986993.753423655,19859747.506847315,20393737.01222366,9395884.248047316,9929873.753423655,4
Nigeria,NGA,Men,2019,36.0354154,28.4906255,11.12727075,46.154675,26.70629115,Nigeria,Lower middle income,130000000,223800000,"Nursing and midwifery personnel (per 10,000)",Nigeria,2022.0,Africa,16.82,"Pharmacists  (per 10,000)",Nigeria,2022.0,Africa,0.84,Community Health Workers (number),Nigeria,2022.0,Africa,154477.0,Physician per 1000,Nigeria,2021.0,3.95,6.902457551385165,28.512457551385165,10.266715248983326,4.009758237445195,16.63202886276995,32.0256571625548,24.562457551385165,28.512457551385165,46846040.02,562152480.24,281076240.12,140538120.06,20540000.0,10270000.0,127724779.26720284,63862389.63360143,148264779.26720285,74132389.63360143,541612480.24,551882480.24,434427700.9727972,498290090.6063986,413887700.9727972,488020090.6063986,260536240.12,270806240.12,119998120.06,130268120.06,153351460.85279715,217213850.4863985,12813340.792797148,76675730.42639858,132811460.85279717,206943850.4863985,-7726659.207202852,66405730.426398575,6
Niue,NIU,Men,2019,39.4201867,41.7021244,18.52081465,54.06066425,19.5772882,Niue,High income,1000,2000,"Nursing and midwifery personnel (per 10,000)",Niue,2018.0,Western Pacific,105.3,"Pharmacists  (per 10,000)",Niue,2008.0,Western Pacific,5.56,,,,,,,,,0.0,0.0,110.86,16.439055296346254,7.300939713390951,21.31081477861015,32.11924698660904,110.86,110.86,394.201867,4730.422404,2365.211202,1182.605601,0.0,0.0,4434.400000000001,2217.2000000000003,4434.400000000001,2217.2000000000003,4730.422404,4730.422404,296.02240399999937,2513.222404,296.02240399999937,2513.222404,2365.211202,2365.211202,1182.605601,1182.605601,-2069.1887980000006,148.01120199999968,-3251.7943990000003,-1034.5943990000003,-2069.1887980000006,148.01120199999968,-3251.7943990000003,-1034.5943990000003,2
